index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp
4,7,0.1,0.121913842,0.231125561,0.313767097,0.581812928,1.878211746,2.999368817,1.72E-05,1.41E-05,1.92E-05,4.35E-05,1.57E-05,8.37E-06,3.25E-05,0.94,0,3.929020977,3.177531027,5.773465055,5.174183062,4.506926158,0.920530759,1.453391583,5.215524849,3.353922919,2.472296713,3.505948117,1.871034139,2.663778532,4.896914392,16.74714905,1.5,0,0.04078144,0.04078144,107.8152614,107.8152614,25154.43065,2712031.515,0.05,0.01,8136094.544,FALSE,0.049987458,0.070272953,0.111564439,0.146211033,0.232182253,0.30435016,0.368836481,1.405811697,1.587587185,1.310552315,1.587994069,1.310824393,1.211882029,0.011527414,0.019214069,0.038434504,0.057662407,0.115388481,0.17317185,0.231025694,1.666815241,2.000331309,1.500277154,2.001104133,1.500772426,1.334083481,0.053573388,0.135287211,0.101209679,0.052859378,0.03572448,0.045144855,0.009132555,0.000148574,1.666666667,0.000331309,2,0.000277154,1.5,0.001104133,2,0.000772426,1.5,0.000750147,1.333333333,179.4298683,0.138567807,232.0130332,0.041612861,185.3567271,0.086530476,192.8471529,0.072895218,189.7477155,0.269561421,186.7218634,0.806312162,98.15503081,0.162313857,276.1142947,0.072539394,188.8028511,0.074089583,197.8595464,0.160965166,151.6998072,0.344782454,'general_v9',1
3,6,0.1,0.149671053,0.264572601,0.303244642,0.389220516,0.55153807,,8.93E-06,1.18E-05,4.04E-06,1.07E-05,1.97E-05,1.64E-05,,1.05,0,4.305548431,1.820092789,0.436358974,2.137332875,0.287747431,5.433180855,,3.874892332,5.577506166,4.270122625,1.485413968,1.959720707,4.465420505,,141.8021066,1.5,0,0.040183129,0.040183129,111.0498134,111.0498134,1207.494498,134092.0386,0.05,0.01,402276.1159,FALSE,0.049808732,0.065271002,0.091760789,0.10362602,0.125546821,0.199364861,,1.310432926,1.405843115,1.129306123,1.211537618,1.587972198,,0.010848506,0.016273827,0.027126524,0.032554381,0.043412092,0.08687037,,1.50009842,1.666880452,1.20009412,1.333525361,2.001063888,,0.05398112,0.084752904,0.05008303,0.060300868,0.04530614,0.00339362,,9.84E-05,1.5,0.000213785,1.666666667,9.41E-05,1.2,0.000192028,1.333333333,0.001063888,2,,,174.1889095,0.038858164,192.054602,0.354262445,186.4110676,0.402392085,176.9061503,0.199874131,174.7608778,0.125248393,,,188.4448611,0.223848801,274.8090831,0.761122933,211.9721513,0.335430435,181.8577408,0.104056902,,,general_v10,1
