,level_0,index,pnum,pl_orbsmax_0,pl_orbsmax_1,pl_orbsmax_2,pl_orbsmax_3,pl_orbsmax_4,pl_orbsmax_5,pl_orbsmax_6,pl_mass_0,pl_mass_1,pl_mass_2,pl_mass_3,pl_mass_4,pl_mass_5,pl_mass_6,st_mass,kep_angles,arg_peri_0,arg_peri_1,arg_peri_2,arg_peri_3,arg_peri_4,arg_peri_5,arg_peri_6,mean_anom_0,mean_anom_1,mean_anom_2,mean_anom_3,mean_anom_4,mean_anom_5,mean_anom_6,Sigma,alpha,beta,h,h_outermost,K,K_outermost,taue,taua,disk_inner_edge,disk_inner_edge_width,itime,close_encounter_flag,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_ratio_01,a_ratio_12,a_ratio_23,a_ratio_34,a_ratio_45,a_ratio_56,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_ratio_01,p_ratio_12,p_ratio_23,p_ratio_34,p_ratio_45,p_ratio_56,e_0,e_1,e_2,e_3,e_4,e_5,e_6,delta_wu_01,prox_res_01,delta_wu_12,prox_res_12,delta_wu_23,prox_res_23,delta_wu_34,prox_res_34,delta_wu_45,prox_res_45,delta_wu_56,prox_res_56,phi_cen_2_01,phi_amp_2_01,phi_cen_2_12,phi_amp_2_12,phi_cen_2_23,phi_amp_2_23,phi_cen_2_34,phi_amp_2_34,phi_cen_2_45,phi_amp_2_45,phi_cen_2_56,phi_amp_2_56,phi_cen_3_012,phi_amp_3_012,phi_cen_3_123,phi_amp_3_123,phi_cen_3_234,phi_amp_3_234,phi_cen_3_345,phi_amp_3_345,phi_cen_3_456,phi_amp_3_456,parameter_method,tmp,index,p_i_01,p_i_12,p_i_23,p_i_34,p_i_45,p_i_56,index,m_01,m_12,m_23,m_34,m_45,m_56
252,101,4.0,6,0.1,0.1435038868810427,0.2444702338902557,0.2887388766690215,0.3516116424598957,0.7855310610324153,,7.83570055160944e-06,6.773517045599875e-06,1.2520948990877563e-05,1.3034533148191024e-05,6.931116807928565e-06,1.4296555752112068e-05,,1.02,0,2.522016863723614,5.002170270873793,1.619487000390253,5.261376344945532,0.2943455717130026,3.179118612975598,,0.4618650563485062,4.62107407725598,3.977030217406474,4.936027086356092,5.638145250140028,6.277162132026247,,114.91792698281527,1.5,0.0,0.0609812889786139,0.0609812889786139,48.2183278888164,48.2183278888164,12348.6542752552,595431.4608298898,0.05,0.01,1786294.3824896691,False,0.0500039825011208,0.0655245673025221,0.0921129314502023,0.1207092347724,0.191634274310362,0.2511466627097658,,1.310386973894198,1.4057770308846915,1.3104483047782878,1.5875692915427215,1.3105519028214083,,0.0110716752832646,0.0166077672232505,0.0276810937669819,0.0415250640547655,0.0830630492664725,0.1246195458713514,,1.5000229688754831,1.6667558947096617,1.500123675661186,2.0003111657179544,1.500300640548186,,0.0622995929426375,0.1390334041838458,0.1008063262156613,0.0839302495364381,0.0533217871763057,0.0167806197362373,,2.2968875483084795e-05,1.5,8.922804299497322e-05,1.6666666666666667,0.0001236756611861,1.5,0.0003111657179541,2.0,0.0003006405481867,1.5,,,178.06782071150693,0.0632874899340727,178.40243561158005,0.0852447626086814,179.66697226318269,0.0333776981700707,152.8603669822106,0.0192194070701313,172.93201713954448,0.1114837998481167,,,177.10127731823758,0.2282623004072538,173.85775837533723,0.1337425810540202,194.35264426187655,0.0340657785400862,107.68666190543924,0.0407272797222412,,,general_v10,1.0,252,1.7190785548681398,2.2235262554806883,1.283567766655382,1.3438112601852263,3.339247466991482,,252,0.8644430706592796,1.8485151667273445,1.041017989745637,0.5317502920225792,2.062662648501049,
2273,336,1.0,4,0.1,0.287683796,0.570401153,1.084088371,,,,3.76e-05,8.15e-06,2.14e-05,2.08e-05,,,,0.82,0,2.530176239,2.83027795,1.42770682,1.357907806,,,,1.998252119,0.886337699,1.60093282,5.090489669,,,,125.4711291,1.5,0.0,0.090513472,0.090513472,21.88663007,21.88663007,37622.5573,823430.9937,0.05,0.01,2470292.981,False,0.050289534,0.126726433,0.201171741,0.319364551,,,,2.519936512,1.587448926,1.587521935,,,,0.012453968,0.049818424,0.099640054,0.19930035,,,,4.000204925,2.000064341,2.000203153,,,,0.043808145,0.22393011,0.160480317,0.01800467,,,,0.000204925,4.0,6.43e-05,2.0,0.000203153,2.0,,,,,,,222.4198117,0.030605067,139.6503114,0.009065804,180.643511,0.015372656,,,,,,,320.5739382,0.049007188,59.18131117,0.016824519,,,,,,,general_v10,1.0,2273,4.879562662230358,2.791862224027266,2.620152658618041,,,,2273,0.21675531914893617,2.625766871165644,0.97196261682243,,,
79,33,8.0,7,0.1,0.1418124840291089,0.3517110732146504,0.507761827053968,0.931619452668556,2.004424257007765,3.229561193485845,1.0008712254678349e-06,2.119845077319945e-05,1.5992505143593606e-05,9.915337308102593e-06,2.6537148727227352e-05,1.4665615781618512e-05,2.783961830187627e-06,0.46,0,4.841877829996266,1.0691268914850711,3.0254396869574283,1.2609279816770638,6.150349830968918,6.16733687336464,2.783181162602559,4.977362199752684,5.9922646375097335,3.1568434279807778,5.21587194600627,4.561703604876874,0.7867735092038692,4.744839714369062,1922.23431682544,1.5,0.0,0.1062323341910543,0.1062323341910543,15.88882923503038,15.88882923503038,43473.67723054622,690745.8337349773,0.05,0.01,2072237.501204932,False,0.038268738686993,0.050147464808633,0.079611181476304,0.1263940334127435,0.1656531689380509,0.2630835923514895,0.3448984624154592,1.3104028712540876,1.5875415012103111,1.5876417269697634,1.310609097234594,1.5881591311812648,1.31098431442303,0.011038118118605,0.0165574053378239,0.0331186299239434,0.0662516102808329,0.0994016687630153,0.1989425939241554,0.2986226223489701,1.5000206867439905,2.000230672045435,2.0004333122194,1.5003661014694765,2.001400954951634,1.501049209771663,0.186297193523679,0.1341677860008198,0.1788576383025629,0.1227775798777359,0.0600168559864116,0.0140910585692042,0.0267430938273732,2.0686743990192548e-05,1.5,0.0002306720454348,2.0,0.0004333122193997,2.0,0.0003661014694764,1.5,0.001400954951634,2.0,0.0010492097716627,1.5,187.4842220546672,0.0516710257721931,110.86084254065904,0.0276931487602647,102.60516218244096,0.0567272789531166,153.36399957877006,0.0925567226886051,164.38205295345233,0.1016867243140561,174.540890737421,0.3443497684588039,228.2264909802482,0.0837137380024498,141.6098580270256,0.066786946606011,86.3627853249383,0.1166297044912461,149.2554174911966,0.0914007857637417,136.2197162125061,0.0736800376485858,general_v10,1.0,79,1.6887375577494603,3.9057984040202705,1.7346580585951819,2.485191755397552,3.1559655667852393,2.045202952046297,79,21.179998219342064,0.7544185806168646,0.6199990069769995,2.6763737735419033,0.5526447446319454,0.18982918082969075
